City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port elizabeth,-33.918,25.5701,20.17,97,75,1.54,ZA,1713749438
84,betio village,1.358,172.9211,31.02,79,68,5.29,KI,1713749438
85,puli,23.9664,120.9695,27.7,47,94,1.82,TW,1713749438
86,shenzhen,22.5455,114.0683,26.88,83,96,1.28,CN,1713749438
87,chonchi,-42.6128,-73.8092,7.29,87,100,0.68,CL,1713749438
88,dongola,19.1667,30.4833,25.95,9,0,5.15,SD,1713749439
89,borogontsy,62.6683,131.1683,1.47,92,76,4.04,RU,1713749439
90,atafu village,-8.5421,-172.5159,29.41,77,17,4.38,TK,1713749176
91,tazovsky,67.4667,78.7,-21.16,98,91,3.28,RU,1713749139
92,west island,-12.1568,96.8225,27.99,83,75,8.75,CC,1713749439
93,katsuura,35.1333,140.3,16.38,90,100,7.61,JP,1713749439
94,amursk,50.2261,136.8994,4.43,55,46,5.52,RU,1713749439
95,whitehorse,60.7161,-135.0538,11.43,23,20,10.29,CA,1713749279
96,navolato,24.7672,-107.6944,31.1,56,0,3.3,MX,1713749440
97,jiangyou,31.7667,104.7167,17.42,82,100,2.17,CN,1713749440
98,colares,38.7992,-9.4469,17.55,74,7,4.47,PT,1713749311
99,sivers'k,48.867,38.1001,7.91,76,0,6.63,UA,1713749440
100,sola,-13.8833,167.55,28.53,78,30,3.65,VU,1713749213
101,ust-nera,64.5667,143.2,-0.2,87,96,1.13,RU,1713749440
102,punta arenas,-53.15,-70.9167,7.06,76,75,6.69,CL,1713749184
103,si satchanalai,17.5169,99.7598,29.88,38,0,2.57,TH,1713749441
104,kavaratti,10.5669,72.642,29.88,72,57,2.93,IN,1713749441
105,singaraja,-8.112,115.0882,28.84,77,99,1.14,ID,1713749441
106,tsaratanana,-16.7833,47.65,23.26,80,1,2.06,MG,1713749441
107,akureyri,65.6835,-18.0878,5.96,52,0,6.69,IS,1713749441
108,mandalgarh,25.2,75.1,24.9,29,0,2.78,IN,1713749441
109,inari,68.906,27.0288,-11.89,99,87,0.94,FI,1713749311
110,blackmans bay,-43.0167,147.3167,18.18,61,7,0.45,AU,1713749441
111,avarua,-21.2078,-159.775,28.03,74,75,3.09,CK,1713749441
112,puerto ayora,-0.7393,-90.3518,25.31,99,25,2.41,EC,1713749442
113,balabac,7.9868,117.0645,30.74,67,84,4.43,PH,1713749442
114,gadzhiyevo,69.2551,33.3362,-13.01,89,93,3.22,RU,1713749252
115,touros,-5.1989,-35.4608,26.61,86,99,4.13,BR,1713749324
116,pitimbu,-7.4706,-34.8086,26.33,85,100,3.02,BR,1713749442
117,camiri,-20.05,-63.5167,20.63,94,96,0.53,BO,1713749442
118,sai buri,6.7013,101.6168,28.84,69,100,2.34,TH,1713749443
119,constitucion,-35.3333,-72.4167,15.12,88,100,8.84,CL,1713749443
120,lazaro cardenas,17.9583,-102.2,24.23,76,0,1.59,MX,1713749444
121,ola,59.5833,151.2833,0.63,87,21,1.17,RU,1713749380
122,jawf al maqbabah,13.8378,45.8349,24.32,70,100,1.1,YE,1713749448
123,hirara,24.8,125.2833,28.92,83,75,7.2,JP,1713749448
124,san jose del cabo,23.0589,-109.6977,32.65,40,0,6.17,MX,1713749448
125,nadi,-17.8,177.4167,32.0,62,75,4.63,FJ,1713749374
126,mount isa,-20.7333,139.5,24.87,36,11,7.2,AU,1713749194
127,hawaiian paradise park,19.5933,-154.9731,25.96,78,100,5.14,US,1713749449
128,damavand,35.7178,52.065,11.48,57,97,1.39,IR,1713749450
129,terenos,-20.4422,-54.8603,26.84,69,75,4.12,BR,1713749027
130,invercargill,-46.4,168.35,11.12,73,21,9.83,NZ,1713749450
131,chinde,26.8418,88.0763,24.29,27,22,2.05,NP,1713749450
132,bereznik,62.8551,42.7072,-0.37,87,100,3.13,RU,1713749450
133,rabaul,-4.1967,152.1721,29.19,70,28,2.7,PG,1713749450
134,queenstown,-31.8976,26.8753,18.92,35,100,2.79,ZA,1713749450
135,ilica,39.9463,41.1091,0.96,80,0,0.0,TR,1713749452
136,cill airne,52.05,-9.5167,8.75,93,60,0.53,IE,1713749453
137,castillos,-34.1667,-53.8333,17.59,97,100,4.89,UY,1713749223
138,kuching,1.55,110.3333,30.02,82,20,0.0,MY,1713749389
139,naze,28.3667,129.4833,22.51,87,100,1.81,JP,1713749384
140,east london,-33.0153,27.9116,23.14,92,100,7.41,ZA,1713749455
141,port mathurin,-19.6833,63.4167,26.81,79,98,7.54,MU,1713749455
142,panadura,6.7132,79.9026,28.13,78,89,0.89,LK,1713749456
143,namibe,-15.1961,12.1522,25.8,71,65,1.39,AO,1713749193
144,smyrna,33.884,-84.5144,11.47,78,0,2.57,US,1713749457
145,lodwar,3.1191,35.5973,25.78,70,99,2.16,KE,1713749458
146,thompson,55.7435,-97.8558,5.09,28,20,1.54,CA,1713749458
147,alice springs,-23.7,133.8833,19.75,49,100,4.12,AU,1713749459
148,ar rutbah,33.0381,40.2848,18.0,57,0,2.56,IQ,1713749459
149,sztum,53.9208,19.0307,1.86,73,100,5.2,PL,1713749462
150,turinsk,58.0458,63.696,7.52,80,16,1.06,RU,1713749464
151,smithers,54.7804,-127.1743,12.18,37,75,5.66,CA,1713749210
152,kerikeri,-35.2268,173.9474,22.17,65,71,4.14,NZ,1713749179
153,lijiang,26.8688,100.2207,15.58,47,11,2.0,CN,1713749465
154,mount gambier,-37.8333,140.7667,17.87,40,1,2.95,AU,1713749199
155,niafunke,15.9322,-3.9906,31.13,10,51,1.44,ML,1713749468
156,urengoy,65.9667,78.3667,-19.89,96,100,5.09,RU,1713749326
157,jamestown,42.097,-79.2353,5.77,66,20,4.63,US,1713749464
158,afaahiti,-17.75,-149.2833,25.93,77,48,1.77,PF,1713749469
159,olonkinbyen,70.9221,-8.7187,-5.74,86,100,16.47,SJ,1713749470
160,talnakh,69.4865,88.3972,-14.48,93,99,2.06,RU,1713749471
161,marka,1.7159,44.7717,25.17,87,100,3.42,SO,1713749471
162,constantia,44.1833,28.65,11.5,92,100,8.38,RO,1713749472
163,undurkhaan,47.3194,110.6556,4.39,39,99,6.73,MN,1713749472
164,lamu,-2.2717,40.902,26.17,86,100,5.76,KE,1713749315
165,turkmenbasy,40.0222,52.9552,16.43,41,0,2.06,TM,1713749176
166,labytnangi,66.6572,66.4183,-24.23,99,14,2.83,RU,1713749312
167,minas de marcona,-15.2119,-75.1103,17.17,82,42,4.53,PE,1713749474
168,mora,11.0461,14.1401,31.56,23,24,2.56,CM,1713749476
169,sciacca,37.5082,13.0881,12.82,60,100,2.74,IT,1713749479
170,la sarre,48.8002,-79.1996,-8.78,69,58,3.62,CA,1713749480
171,krasnyy chikoy,50.3643,108.7512,1.7,71,100,6.44,RU,1713749480
172,yeppoon,-23.1333,150.7333,24.88,77,82,10.55,AU,1713749481
173,dagda,56.0951,27.5372,4.91,95,100,5.84,LV,1713749481
174,nagqu,31.5,92.0,4.46,18,60,7.6,CN,1713749482
175,acarau,-2.8856,-40.12,25.72,89,100,3.53,BR,1713749186
176,kaa-khem,51.6833,94.7333,1.89,43,100,2.09,RU,1713749483
177,isafjordur,66.0755,-23.124,1.24,88,79,4.28,IS,1713749483
178,wenling,28.3669,121.36,15.92,97,100,2.44,CN,1713749483
179,hadibu,12.65,54.0333,27.15,77,43,0.53,YE,1713749484
180,myitkyina,25.3833,97.4,27.92,51,96,1.86,MM,1713749485
181,brooks,50.5834,-111.8851,11.99,35,99,7.72,CA,1713749485
182,kapa'a,22.0752,-159.319,26.99,76,75,8.75,US,1713749485
183,georgetown,5.4112,100.3354,30.96,74,20,1.54,MY,1713749481
184,vernon,50.2581,-119.2691,14.23,35,99,3.6,CA,1713749249
185,formosa do rio preto,-11.0483,-45.1931,24.98,66,98,1.42,BR,1713749490
186,scalea,39.813,15.7956,12.48,71,97,4.3,IT,1713749491
187,qamdo,31.1667,97.2333,3.92,54,100,2.19,CN,1713749193
188,hermanus,-34.4187,19.2345,15.06,89,1,3.81,ZA,1713749123
189,ibipeba,-11.6408,-42.0111,21.77,87,100,3.77,BR,1713749492
190,chibougamau,49.9168,-74.3659,-11.21,62,0,3.6,CA,1713749033
191,coari,-4.085,-63.1414,23.18,99,100,1.27,BR,1713749492
192,balykshi,47.0667,51.8667,19.0,48,40,4.0,KZ,1713749492
193,semnan,35.5729,53.3971,18.86,34,89,1.65,IR,1713749492
194,warrenton,-28.114,24.8475,18.65,38,80,5.12,ZA,1713749492
195,yelizovo,53.1873,158.3805,9.08,23,0,3.0,RU,1713749493
196,vorgashor,67.5833,63.95,-17.99,98,100,4.36,RU,1713749201
197,broken hill,-31.95,141.4333,21.96,24,0,3.25,AU,1713749484
198,lae,-6.7221,146.9847,32.37,64,23,3.18,PG,1713749496
199,majene,-3.5403,118.9707,29.86,67,70,0.64,ID,1713749496
200,chhatarpur,24.9,79.6,30.59,23,100,3.08,IN,1713749496
201,arish,31.1316,33.7984,17.61,75,4,3.1,EG,1713749496
202,greymouth,-42.4667,171.2,14.19,80,90,3.54,NZ,1713749200
203,aasiaat,68.7098,-52.8699,0.55,93,100,2.61,GL,1713749111
204,boke,10.9409,-14.2967,22.43,82,47,1.13,GN,1713749497
205,badger,64.8,-147.5333,15.14,24,0,4.63,US,1713749144
206,cabo san lucas,22.8909,-109.9124,31.17,30,0,3.09,MX,1713749027
207,marsa alam,25.0757,34.8918,23.84,42,0,6.91,EG,1713749498
208,kaitong,44.8135,123.15,20.29,36,19,9.25,CN,1713749498
209,al qadarif,14.0349,35.3834,28.58,19,69,4.97,SD,1713749498
210,zeya,53.75,127.2667,4.71,89,100,4.2,RU,1713749498
211,oranjemund,-28.55,16.4333,15.71,84,100,0.42,NA,1713749498
212,iskateley,67.6803,53.1512,-23.88,100,90,2.24,RU,1713749152
213,dalnegorsk,44.5604,135.5701,8.67,86,97,1.79,RU,1713749500
214,haiku-pauwela,20.9219,-156.3051,25.7,72,20,9.26,US,1713749139
215,baotou,40.6522,109.8222,12.11,21,9,1.39,CN,1713749500
216,holualoa,19.6228,-155.9522,25.91,73,40,3.6,US,1713749159
217,hasaki,35.7333,140.8333,16.27,80,100,5.11,JP,1713749155
218,eyl,7.9803,49.8164,27.6,75,100,1.43,SO,1713749500
219,mochudi,-24.4167,26.15,15.33,38,0,1.45,BW,1713749500
220,darnah,32.767,22.6367,21.9,33,100,11.85,LY,1713749500
221,port lincoln,-34.7333,135.8667,19.57,39,0,3.83,AU,1713749144
222,dubinino,55.6192,89.0911,7.41,77,100,8.8,RU,1713749501
223,kadom,54.5592,42.4675,16.38,87,100,4.49,RU,1713749501
224,heihe,50.2441,127.4902,14.14,39,100,8.24,CN,1713749501
225,kirensk,57.7853,108.1119,1.65,94,100,2.24,RU,1713749501
226,luanda,-8.8368,13.2343,28.0,89,0,1.03,AO,1713749501
227,beichengqu,40.4394,113.1536,12.63,29,78,3.71,CN,1713749501
228,papao,-17.75,-149.55,26.82,73,3,2.18,PF,1713749347
229,igarka,67.4667,86.5833,-14.43,96,100,1.34,RU,1713749331
230,wewak,-3.5534,143.6268,30.08,67,99,3.77,PG,1713749502
231,colonia menno,-22.3667,-59.8167,28.09,60,44,6.14,PY,1713749502
232,willemstad,12.1084,-68.9335,27.95,89,20,5.14,CW,1713749369
233,valparaiso,-33.0393,-71.6273,17.78,61,100,4.12,CL,1713748954
234,yallahs,17.8748,-76.5624,28.85,87,5,3.2,JM,1713749502
235,thinadhoo,0.5333,72.9333,29.29,71,97,1.91,MV,1713748886
236,lihue,21.9789,-159.3672,26.58,69,75,8.75,US,1713749140
237,ilulissat,69.2167,-51.1,1.01,80,100,1.54,GL,1713749135
238,qianzhou,28.3167,109.7167,19.36,80,100,0.86,CN,1713749502
239,tuy hoa,13.0833,109.3,33.69,51,78,1.37,VN,1713749503
240,khanpur mahar,27.8436,69.4137,27.94,30,0,2.92,PK,1713749503
241,horsham,51.064,-0.3272,5.57,76,0,3.6,GB,1713749173
242,cidreira,-30.1811,-50.2056,19.98,83,53,3.07,BR,1713749503
243,lucapa,-8.4192,20.7447,19.87,90,36,0.81,AO,1713749503
244,auki,-8.7676,160.7034,28.65,82,100,2.37,SB,1713749503
245,san pedro pochutla,15.7333,-96.4667,28.84,63,16,1.17,MX,1713749503
246,yuzhno-kurilsk,44.0306,145.8556,2.43,97,100,4.08,RU,1713749114
247,port alfred,-33.5906,26.891,21.21,94,100,1.34,ZA,1713749078
248,kupang,-10.1667,123.5833,31.32,74,20,5.66,ID,1713749128
249,forster,-32.1667,152.5167,21.27,80,100,2.8,AU,1713749372
250,tukrah,32.5341,20.5791,25.07,26,100,18.27,LY,1713749504
251,al qubbah,32.7616,22.2424,18.55,30,100,13.44,LY,1713749383
252,boone,39.0334,-92.3335,13.14,58,0,1.93,US,1713749504
253,vila franca do campo,37.7167,-25.4333,18.27,99,100,1.33,PT,1713749111
254,hawera,-39.5917,174.2833,19.57,64,0,4.0,NZ,1713749504
255,saint-pierre,-21.3393,55.4781,22.32,83,0,2.07,RE,1713749093
256,gongju,36.4556,127.1247,17.14,70,100,4.65,KR,1713749504
257,walvis bay,-22.9575,14.5053,14.53,88,0,2.06,NA,1713749121
258,crane,31.3974,-102.3501,15.1,53,100,4.5,US,1713749138
259,hithadhoo,-0.6,73.0833,29.16,71,93,1.02,MV,1713749174
260,pisco,-13.7,-76.2167,22.03,83,75,4.12,PE,1713749100
261,pacific grove,36.6177,-121.9166,20.91,76,0,3.6,US,1713749135
262,sisimiut,66.9395,-53.6735,-0.72,89,100,5.36,GL,1713749180
263,comodoro rivadavia,-45.8667,-67.5,1.92,60,0,1.54,AR,1713749505
264,piracanjuba,-17.3028,-49.0167,19.02,70,1,1.79,BR,1713749506
265,puerto francisco de orellana,-0.4667,-76.9667,22.85,99,99,0.91,EC,1713749506
266,errachidia,31.9275,-4.4285,14.03,58,0,1.54,MA,1713749375
267,enewetak,11.3474,162.3373,27.98,74,66,7.11,MH,1713749213
268,klyuchi,52.2667,79.1667,13.78,82,69,4.7,RU,1713749115
